Orginization	Domain ID	Policy Name	Policy ID	Rule's Name	Rule's ID	Enabled	Source Zone	Destination Zone	Source Network	Destination Network	Source Port	Destination Port	Users	URL	Applications
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-1	005056BB-0B24-0ed3-0000-867583394493	Product_Vpn_TEST	005056BB-0B24-0ed3-0000-000268484624	True	[['SecurityZone', '_sz1']]	[['SecurityZone', '_sz3']]	[['FQDN', '31.1.1.1'], ['FQDN', '231.1.1.1'], ['Host', '10.5.5.103']]	[['FQDN', '10.1.1.1'], ['FQDN', '10.2.2.2'], ['FQDN', '212.1.1.1'], ['Host', '10.5.5.105']]	[['6', '222'], ['ProtocolPortObject', '1352']]	[['6', '111'], ['ProtocolPortObject', '1533']]	[]	[['Url', 'dup.dup.dup']]	[['Application', 'DNS']]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-1	005056BB-0B24-0ed3-0000-867583394493	Product_Vpn_TEST (1)	005056BB-0B24-0ed3-0000-000268484626	True	[['SecurityZone', '_sz1']]	[['SecurityZone', '_sz3']]	[['FQDN', '31.1.1.1'], ['FQDN', '231.1.1.1']]	[['FQDN', '10.1.1.1'], ['FQDN', '10.2.2.2'], ['FQDN', '212.1.1.1']]	[]	[]	[]	[]	[['Application', 'DNS']]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-1	005056BB-0B24-0ed3-0000-867583394493	Product_Vpn_TEST (2)	005056BB-0B24-0ed3-0000-000268484627	True	[['SecurityZone', '_sz1']]	[['SecurityZone', '_sz3']]	[['FQDN', '31.1.1.1'], ['FQDN', '231.1.1.1']]	[['FQDN', '10.1.1.1'], ['FQDN', '10.2.2.2'], ['FQDN', '212.1.1.1']]	[]	[]	[]	[]	[['Application', 'DNS']]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-2	005056BB-0B24-0ed3-0000-871878361667	Rule Without Object	005056BB-0B24-0ed3-0000-000268484628	True	[]	[]	[['FQDN', '10.10.10.10']]	[['FQDN', '20.20.20.20']]	[]	[['6', '443'], ['6', '80']]	[]	[]	[]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-2	005056BB-0B24-0ed3-0000-871878361667	Rule1	005056BB-0B24-0ed3-0000-000268484629	True	[]	[]	[]	[]	[]	[['6', '443'], ['6', '80']]	[]	[]	[]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-2	005056BB-0B24-0ed3-0000-871878361667	Rule2	005056BB-0B24-0ed3-0000-000268484630	True	[]	[]	[['FQDN', '10.10.10.10'], ['FQDN', '30.30.30.30']]	[['FQDN', '20.20.20.20']]	[]	[['6', '443'], ['6', '80']]	[]	[]	[]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-2	005056BB-0B24-0ed3-0000-871878361667	karimtest	005056BB-0B24-0ed3-0000-000268484635	True	[]	[]	[]	[]	[]	[]	[]	[]	[]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-2	005056BB-0B24-0ed3-0000-871878361667	karimtest2	005056BB-0B24-0ed3-0000-000268484636	True	[]	[]	[]	[]	[]	[]	[]	[]	[]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-2	005056BB-0B24-0ed3-0000-871878361667	karimtest3	005056BB-0B24-0ed3-0000-000268484637	True	[['SecurityZone', 'outside1']]	[]	[]	[]	[]	[]	[]	[]	[]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-2	005056BB-0B24-0ed3-0000-871878361667	karimtest4	005056BB-0B24-0ed3-0000-000268484638	True	[['SecurityZone', 'outside1']]	[['SecurityZone', 'outside2']]	[]	[]	[]	[]	[]	[]	[]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy-veer-test-2	005056BB-0B24-0ed3-0000-871878361667	karimtest5	005056BB-0B24-0ed3-0000-000268484639	True	[['SecurityZone', 'outside1']]	[['SecurityZone', 'outside2']]	[['Network', '10.190.0.0_16']]	[['Network', '144.104.16.0_21']]	[['ProtocolPortObject', '1352']]	[['ProtocolPortObject', '123']]	[]	[]	[]
MMI	e276abec-e0f2-11e3-8169-6d9ed49b625f	AccessPolicy1	005056BB-0B24-0ed3-0000-867583400843	Test	005056BB-0B24-0ed3-0000-000268483639	True	[]	[]	[]	[]	[]	[]	[]	[]	[]
